first_player_current_score,second_player_current_score,current_score_difference,first_player_average_score,second_player_average_score,average_score_difference,first_player_rating,second_player_rating,rating_difference,first_player_number_of_bingos,second_player_number_of_bingos,first_player_average_number_of_bingos,second_player_average_number_of_bingos,next_player,number_of_tiles_left,first_player_number_of_turns,second_player_number_of_turns,progress,first_player_rack_blanks,second_player_rack_blanks,first_player_rack_value,second_player_rack_value,final_turn,first_player_final_score,second_player_final_score,final_score_difference,outcome
65,50,15,13.0,12.5,15,226,361,-135,0,0,0.0,0.0,first_player,67,5,4,0.6567164179104478,0,1,16,8,false,258,296,-38,false
65,68,-3,13.0,13.6,-3,226,361,-135,0,0,0.0,0.0,second_player,62,5,5,0.7096774193548387,0,0,16,14,false,258,296,-38,false
76,68,8,12.666666666666666,13.6,8,226,361,-135,0,0,0.0,0.0,first_player,58,6,5,0.7586206896551724,0,0,23,14,false,258,296,-38,false
76,82,-6,12.666666666666666,13.666666666666666,-6,226,361,-135,0,0,0.0,0.0,second_player,55,6,6,0.8,0,0,23,13,false,258,296,-38,false
86,82,4,12.285714285714286,13.666666666666666,4,226,361,-135,0,0,0.0,0.0,first_player,52,7,6,0.8461538461538461,0,0,18,13,false,258,296,-38,false
86,102,-16,12.285714285714286,14.571428571428571,-16,226,361,-135,0,0,0.0,0.0,second_player,47,7,7,0.9361702127659575,0,0,18,14,false,258,296,-38,false
86,102,-16,10.75,14.571428571428571,-16,226,361,-135,0,0,0.0,0.0,first_player,47,8,7,0.9361702127659575,0,0,16,14,false,258,296,-38,false
86,110,-24,10.75,13.75,-24,226,361,-135,0,0,0.0,0.0,second_player,44,8,8,1.0,0,0,16,12,false,258,296,-38,false
110,110,0,12.222222222222221,13.75,0,226,361,-135,0,0,0.0,0.0,first_player,42,9,8,1.0476190476190477,0,0,7,12,false,258,296,-38,false
110,165,-55,12.222222222222221,18.333333333333332,-55,226,361,-135,0,0,0.0,0.0,second_player,38,9,9,1.1578947368421053,0,0,7,11,false,258,296,-38,false
114,165,-51,11.4,18.333333333333332,-51,226,361,-135,0,0,0.0,0.0,first_player,35,10,9,1.2571428571428571,0,0,7,11,false,258,296,-38,false
114,177,-63,11.4,17.7,-63,226,361,-135,0,0,0.0,0.0,second_player,32,10,10,1.375,0,0,7,10,false,258,296,-38,false
122,177,-55,11.090909090909092,17.7,-55,226,361,-135,0,0,0.0,0.0,first_player,28,11,10,1.5714285714285714,0,0,8,10,false,258,296,-38,false
122,193,-71,11.090909090909092,17.545454545454547,-71,226,361,-135,0,0,0.0,0.0,second_player,23,11,11,1.9130434782608696,0,0,8,7,false,258,296,-38,false
132,193,-61,11.0,17.545454545454547,-61,226,361,-135,0,0,0.0,0.0,first_player,20,12,11,2.2,0,0,11,7,false,258,296,-38,false
132,202,-70,11.0,16.833333333333332,-70,226,361,-135,0,0,0.0,0.0,second_player,17,12,12,2.588235294117647,0,0,11,8,false,258,296,-38,false
160,202,-42,12.307692307692308,16.833333333333332,-42,226,361,-135,0,0,0.0,0.0,first_player,13,13,12,3.3846153846153846,0,0,9,8,false,258,296,-38,false
160,233,-73,12.307692307692308,17.923076923076923,-73,226,361,-135,0,0,0.0,0.0,second_player,9,13,13,4.888888888888889,0,0,9,11,false,258,296,-38,false
170,233,-63,12.142857142857142,17.923076923076923,-63,226,361,-135,0,0,0.0,0.0,first_player,6,14,13,7.333333333333333,0,0,8,11,false,258,296,-38,false
170,240,-70,12.142857142857142,17.142857142857142,-70,226,361,-135,0,0,0.0,0.0,second_player,1,14,14,44.0,0,0,8,11,false,258,296,-38,false
174,240,-66,11.6,17.142857142857142,-66,226,361,-135,0,0,0.0,0.0,first_player,-2,15,14,-22.0,1,0,9,11,false,258,296,-38,false
174,252,-78,11.6,16.8,-78,226,361,-135,0,0,0.0,0.0,second_player,-4,15,15,-11.0,1,0,9,9,false,258,296,-38,false
185,252,-67,11.5625,16.8,-67,226,361,-135,0,0,0.0,0.0,first_player,-7,16,15,-6.285714285714286,1,0,10,9,false,258,296,-38,false
185,261,-76,11.5625,16.3125,-76,226,361,-135,0,0,0.0,0.0,second_player,-10,16,16,-4.4,1,0,10,12,false,258,296,-38,false
215,261,-46,12.647058823529411,16.3125,-46,226,361,-135,0,0,0.0,0.0,first_player,-15,17,16,-2.933333333333333,0,0,18,12,false,258,296,-38,false
215,277,-62,12.647058823529411,16.294117647058822,-62,226,361,-135,0,0,0.0,0.0,second_player,-18,17,17,-2.4444444444444446,0,0,18,16,false,258,296,-38,false
228,277,-49,12.666666666666666,16.294117647058822,-49,226,361,-135,0,0,0.0,0.0,first_player,-21,18,17,-2.0952380952380953,0,0,15,16,false,258,296,-38,false
228,289,-61,12.666666666666666,16.055555555555557,-61,226,361,-135,0,0,0.0,0.0,second_player,-23,18,18,-1.9130434782608696,0,0,15,11,false,258,296,-38,false
248,289,-41,13.052631578947368,16.055555555555557,-41,226,361,-135,0,0,0.0,0.0,first_player,-25,19,18,-1.76,0,0,11,11,false,258,296,-38,false
248,294,-46,13.052631578947368,15.473684210526315,-46,226,361,-135,0,0,0.0,0.0,second_player,-27,19,19,-1.6296296296296295,0,0,11,7,false,258,296,-38,false
259,294,-35,12.95,15.473684210526315,-35,226,361,-135,0,0,0.0,0.0,first_player,-29,20,19,-1.5172413793103448,0,0,1,7,false,258,296,-38,false
259,299,-40,12.95,14.95,-40,226,361,-135,0,0,0.0,0.0,second_player,-31,20,20,-1.4193548387096775,0,0,1,3,false,258,296,-38,false
259,299,-40,12.333333333333334,14.95,-40,226,361,-135,0,0,0.0,0.0,first_player,-31,21,20,-1.4193548387096775,0,0,1,3,false,258,296,-38,false
259,299,-40,12.333333333333334,14.238095238095237,-40,226,361,-135,0,0,0.0,0.0,second_player,-31,21,21,-1.4193548387096775,0,0,1,3,false,258,296,-38,false
259,299,-40,11.772727272727273,14.238095238095237,-40,226,361,-135,0,0,0.0,0.0,first_player,-31,22,21,-1.4193548387096775,0,0,1,3,false,258,296,-38,false
259,299,-40,11.772727272727273,13.590909090909092,-40,226,361,-135,0,0,0.0,0.0,second_player,-31,22,22,-1.4193548387096775,0,0,1,3,true,258,296,-38,false
16,0,16,16.0,0,16,804,988,-184,0,0,0.0,0,first_player,95,1,0,0.3473684210526316,0,0,10,0,false,370,302,68,true
16,28,-12,16.0,28.0,-12,804,988,-184,0,0,0.0,0.0,second_player,92,1,1,0.358695652173913,0,0,10,12,false,370,302,68,true
30,28,2,15.0,28.0,2,804,988,-184,0,0,0.0,0.0,first_player,89,2,1,0.3707865168539326,0,0,7,12,false,370,302,68,true
30,43,-13,15.0,21.5,-13,804,988,-184,0,0,0.0,0.0,second_player,85,2,2,0.38823529411764707,0,0,7,19,false,370,302,68,true
36,43,-7,12.0,21.5,-7,804,988,-184,0,0,0.0,0.0,first_player,82,3,2,0.4024390243902439,1,0,6,19,false,370,302,68,true
36,64,-28,12.0,21.333333333333332,-28,804,988,-184,0,0,0.0,0.0,second_player,78,3,3,0.4230769230769231,1,0,6,29,false,370,302,68,true
97,64,33,24.25,21.333333333333332,33,804,988,-184,1,0,0.25,0.0,first_player,71,4,3,0.4647887323943662,0,0,11,29,false,370,302,68,true
97,90,7,24.25,22.5,7,804,988,-184,1,0,0.25,0.0,second_player,69,4,4,0.4782608695652174,0,0,11,26,false,370,302,68,true
111,90,21,22.2,22.5,21,804,988,-184,1,0,0.2,0.0,first_player,65,5,4,0.5076923076923077,0,0,10,26,false,370,302,68,true
111,115,-4,22.2,23.0,-4,804,988,-184,1,0,0.2,0.0,second_player,62,5,5,0.532258064516129,0,0,10,19,false,370,302,68,true
143,115,28,23.833333333333332,23.0,28,804,988,-184,1,0,0.16666666666666666,0.0,first_player,57,6,5,0.5789473684210527,0,0,12,19,false,370,302,68,true
143,132,11,23.833333333333332,22.0,11,804,988,-184,1,0,0.16666666666666666,0.0,second_player,55,6,6,0.6,0,0,12,19,false,370,302,68,true
